parlhand.person.phid,parlhand.chamber.title,parlhand.electorate.label,_state,start_reason,start_date,end_date,_end_event,end_reason
"L6B",Member,Bradfield,NSW,2009-BY1-BRADFIELD,2009-12-05,,,
"KFF",Member,Kalgoorlie,WA,1920-BY2-KALGOORLIE,1920-12-18,1922-12-16,1922-HOR,Defeated
"JZD",Senator,Queensland,QLD,1917-SEN,1917-07-01,1947-06-30,1946-SEN,Retired
"KFH",Member,Barker,SA,1956-BY2-BARKER,1956-10-13,1975-11-11,1975-HOR,Retired
"RT4",Member,Dunkley,VIC,1990-HOR,1990-03-24,1993-03-13,1993-HOR,Defeated
"F4U",Member,Capricornia,QLD,1922-HOR,1922-12-16,1946-09-28,1946-HOR,Defeated
"GG4",Senator,South Australia,SA,1980-SEN,1981-07-01,1997-09-15,1997-CASUAL5-SA,Resigned
"KFJ",Member,Swan,WA,1901-HOR1,1901-03-29,1918-09-02,1918-BY2-SWAN,Died
"NV5",Member,Mallee,VIC,1993-HOR,1993-03-13,2013-08-05,2013-HOR,Retired
"656",Senator,New South Wales,NSW,1994-CASUAL4-NSW,1994-05-10,2011-06-30,2010-SEN,Retired
"KFN",Member,New England,NSW,1906-HOR,1906-12-12,1913-05-31,1913-HOR,Defeated
"KKH",Senator,Tasmania,TAS,1919-SEN,1920-07-01,1925-06-30,1925-CASUAL2-TAS,Resigned
"KFO",Member,Sturt,SA,1969-HOR,1969-10-25,1972-12-02,1972-HOR,Defeated
"KFP",Member,Wakefield,SA,1909-BY1-WAKEFIELD,1909-08-28,1928-11-17,1928-HOR,Defeated
"JWG",Member,Perth,WA,1901-HOR1,1901-03-29,1922-12-16,1922-HOR,Defeated
"JWI",Member,Henty,VIC,1955-HOR,1955-12-10,1974-05-18,1974-HOR,Defeated
"JWJ",Member,Brisbane,QLD,1906-HOR,1906-12-12,1910-04-13,1910-HOR,Defeated
"JWN",Member,Henty,VIC,1919-HOR,1919-12-13,1925-10-03,1925-HOR,Retired
"JWQ",Member,Kennedy,QLD,1925-HOR,1925-11-14,1929-10-12,1929-HOR,Defeated
"JWT",Member,Moreton,QLD,1922-HOR,1922-12-16,1955-11-04,1955-HOR,Retired
"KKJ",Senator,Victoria,VIC,1946-CASUAL1-VIC,1946-05-15,1946-09-27,1946-SEN,Expired Defeated
"JWU",Member,Eden-Monaro,NSW,1969-HOR,1969-10-25,1972-11-02,1972-HOR,Retired
"KKR",Senator,Western Australia,WA,1937-SEN,1938-07-01,1959-06-30,1958-SEN,Retired
"JWX",Member,Australian Capital Territory (HoR),ACT,1951-HOR,1951-04-28,1970-04-01,1970-BY1-ACT,Died
"QS4",Member,Wannon,VIC,1955-HOR,1955-12-10,1983-03-31,1983-BY1-WANNON,Resigned
"KKL",Senator,Victoria,VIC,1901-SEN1,1901-03-29,1913-06-30,1913-SEN,Retired
"JX9",Member,Kalgoorlie,WA,1903-HOR,1903-12-16,1913-11-25,1913-BY1-KALGOORLIE,Died
"HG4",Member,Lindsay,NSW,1984-HOR,1984-12-01,1996-03-02,1996-HOR,Defeated
"JXI",Member,Forrest,WA,1949-HOR,1949-12-10,1969-10-25,1969-HOR,Defeated
"JXL",Member,Franklin,TAS,1934-HOR,1934-09-15,1946-09-28,1946-HOR,Defeated
"JXQ",Member,Fraser,ACT,1974-HOR,1974-05-18,1984-10-26,1984-HOR,Retired
"FKL",Member,Kooyong,VIC,2010-HOR,2010-08-21,,,
"JYV",Member,Hume,NSW,1961-HOR,1961-12-09,1963-11-30,1963-HOR,Defeated
"JZF",Member,Illawarra,NSW,1901-HOR1,1901-03-29,1913-05-31,1913-HOR,Defeated
"JZP",Member,Leichhardt,QLD,1958-HOR,1958-11-22,1975-11-11,1975-HOR,Retired
"I0P",Senator,Queensland,QLD,2007-SEN,2008-07-01,2014-06-30,2013-SEN,Defeated
"JZT",Member,Denison,TAS,1903-HOR,1903-12-16,1910-02-19,1910-HOR,Retired
"K0A",Member,Angas i,SA,1929-HOR,1929-10-12,1934-08-07,1934-HOR,Abolished at Redistribution (Retired)
"K0E",Member,Denison,TAS,1943-HOR,1943-08-21,1949-10-31,1949-HOR,Retired
"KKP",Senator,Queensland,QLD,1964-SEN,1965-07-01,1974-04-11,1974-SEN,Retired
"204953",Senator,South Australia,SA,2010-SEN,2011-07-01,,,
"ING",Senator,Australian Capital Territory,ACT,2015-CASUAL2-ACT,2015-03-25,,,
"CU4",Member,Hindmarsh,SA,1993-HOR,1993-03-13,2004-08-31,2004-HOR,Retired
"K97",Member,Kingston,SA,1951-HOR,1951-04-28,1966-11-26,1966-HOR,Defeated
"9K6",Member,Brisbane,QLD,2010-HOR,2010-08-21,,,
"K9A",Member,Reid,NSW,1931-HOR,1931-12-19,1940-09-21,1940-HOR,Defeated
"K9C",Member,Cook i,NSW,1934-HOR,1934-09-15,1937-09-21,1937-HOR,Retired
"KKZ",Senator,New South Wales,NSW,1928-CASUAL2-NSW,1928-06-05,1928-11-16,1928-SEN,Expired Retired
"K9H",Member,Robertson,NSW,1922-HOR,1922-12-16,1940-09-21,1940-HOR,Defeated
"K9L",Member,Curtin,WA,1969-BY1-CURTIN,1969-04-19,1981-01-22,1981-BY1-BOOTHBY,Resigned
"KL7",Senator,New South Wales,NSW,1921-CASUAL2-NSW,1921-12-15,1922-12-15,1922-SEN,Expired Defeated
"HV4",Member,Kingsford Smith (was Kingsford-Smith),NSW,2004-HOR,2004-10-09,2013-08-05,2013-HOR,Retired
"L6X",Member,Batman,VIC,1969-HOR,1969-10-25,1977-11-10,1977-HOR,Retired
"AK6",Member,Gilmore,NSW,1996-HOR,1996-03-02,2013-08-05,2013-HOR,Retired
"PG4",Member,Leichhardt,QLD,1983-HOR,1983-03-05,1993-02-08,1993-HOR,Retired
"QG4",Member,Canning,WA,1984-HOR,1984-12-01,1996-03-02,1996-HOR,Defeated
"K9S",Member,Denison,TAS,1925-HOR,1925-11-14,1928-11-17,1928-HOR,Defeated
"DZY",Member,Hindmarsh,SA,2004-HOR,2004-10-09,2013-09-07,2013-HOR,Defeated
"JH5",Member,Throsby,NSW,2001-HOR,2001-11-10,2010-07-19,2010-HOR,Retired
"7V4",Senator,Queensland,QLD,1967-SEN,1968-07-01,1987-07-11,1987-SEN,Defeated
"HM5",Member,Kooyong,VIC,1994-BY6-KOOYONG,1994-11-19,2010-07-19,2010-HOR,Retired
"83W",Member,Canning,WA,1998-HOR,1998-10-03,2001-11-10,2001-HOR,Defeated
"KAN",Member,Flinders,VIC,1903-HOR,1903-12-16,1906-12-12,1906-HOR,Defeated
"KAQ",Member,Calare,NSW,1929-HOR,1929-10-12,1931-12-19,1931-HOR,Defeated
"83X",Member,Bendigo,VIC,1998-HOR,1998-10-03,2013-08-05,2013-HOR,Retired
"6L6",Senator,Queensland,QLD,1996-SEN,1996-07-01,2002-06-30,2001-SEN,Defeated
"KLP",Senator,New South Wales,NSW,1925-CASUAL1-NSW,1925-04-01,1925-11-13,1925-SEN,Retired
"KAR",Member,Bowman,QLD,1963-HOR,1963-11-30,1969-10-25,1969-HOR,Defeated
"KAU",Member,Denison,TAS,1964-BY1-DENISON,1964-02-15,1969-09-29,1969-HOR,Retired
"BX5",Senator,Tasmania,TAS,1993-SEN,1993-07-01,2002-02-22,2002-CASUAL2-TAS,Resigned
"ST4",Member,Moreton,QLD,1990-HOR,1990-03-24,1996-03-02,1996-HOR,Defeated
"KAY",Senator,Victoria,VIC,1934-SEN,1935-07-01,1947-06-30,1946-SEN,Retired
"RG4",Senator,New South Wales,NSW,1970-SEN,1971-07-01,1989-02-27,1989-CASUAL1-NSW,Resigned
"243609",Member,Scullin ii,VIC,2013-HOR,2013-09-07,,,
"KB8",Member,Wakefield,SA,1977-HOR,1977-12-10,1983-02-04,1983-HOR,Retired
"XG4",Senator,Western Australia,WA,1980-SEN,1981-07-01,1993-06-30,1993-SEN,Retired
"83L",Member,Lalor,VIC,1998-HOR,1998-10-03,2013-08-05,2013-HOR,Retired
"KBE",Member,Macquarie,NSW,1975-HOR,1975-12-13,1980-10-18,1980-HOR,Defeated
"72184",Member,Lyne,NSW,2013-HOR,2013-09-07,,,
"KBF",Member,Leichhardt,QLD,1949-HOR,1949-12-10,1951-04-28,1951-HOR,Defeated
"KLS",Senator,Queensland,QLD,1903-SEN,1904-01-01,1928-06-19,1928-CASUAL3-QLD,Died
"KLU",Senator,Queensland,QLD,1919-SEN,1920-07-01,1932-06-30,1931-SEN,Defeated
"KLW",Senator,Queensland,QLD,1901-SEN2,1901-03-30,1903-12-31,1903-SEN,Defeated
"KCO",Member,Angas i,SA,1903-HOR,1903-12-16,1919-12-13,1919-HOR,Defeated
"74046",Member,Moore,WA,2013-HOR,2013-09-07,,,
"XD4",Member,Franklin,TAS,1975-HOR,1975-12-13,1993-02-08,1993-HOR,Retired
"KCP",Member,Boothby,SA,1911-BY3-BOOTHBY,1911-11-11,1913-05-31,1913-HOR,Defeated
"YG4",Member,Greenway,NSW,1984-HOR,1984-12-01,1996-01-29,1996-HOR,Retired
"KH5",Member,Higgins,VIC,1968-BY1-HIGGINS,1968-02-24,1975-11-11,1975-HOR,Retired
"KLZ",Senator,New South Wales,NSW,1901-SEN1,1901-03-29,1917-06-30,1917-SEN,Retired
"ZG4",Member,Fowler,NSW,1984-HOR,1984-12-01,1998-08-31,1998-HOR,Retired
"ML6",Member,Lilley,QLD,1996-HOR,1996-03-02,1998-10-03,1998-HOR,Defeated
"KCQ",Member,North Sydney,NSW,1966-HOR,1966-11-26,1980-09-19,1980-HOR,Retired
"KMI",Senator,Western Australia,WA,1922-SEN,1923-07-01,1929-06-30,1928-SEN,Defeated
"KMK",Senator,Tasmania,TAS,1932-CASUAL1-TAS,1932-03-03,1941-06-30,1940-SEN,Retired
"KMN",Senator,New South Wales,NSW,1943-SEN,1944-07-01,1959-06-30,1958-SEN,Retired
"KMP",Senator,New South Wales,NSW,1922-SEN,1923-07-01,1928-05-19,1928-CASUAL2-NSW,Died
"8V4",Member,Riverina i,NSW,1969-HOR,1969-10-25,1974-05-18,1974-HOR,Defeated
"8W5",Member,Brand,WA,2007-HOR,2007-11-24,,,
"KF5",Member,Capricornia,QLD,1961-HOR,1961-12-09,1967-08-02,1967-BY2-CAPRICORNIA,Died
"KMT",Senator,New South Wales,NSW,1903-SEN,1904-01-01,1910-06-30,1910-SEN,Defeated
"KF8",Member,Swan,WA,1949-HOR,1949-12-10,1954-05-29,1954-HOR,Defeated
"KF9",Member,Kalgoorlie,WA,1922-HOR,1922-12-16,1940-10-02,1940-BY2-KALGOORLIE,Died
"KFA",Member,Richmond,NSW,1922-HOR,1922-12-16,1937-10-23,1937-HOR,Defeated
"KFD",Member,Dalley,NSW,1953-BY1-DALLEY,1953-05-09,1955-11-04,1955-HOR,Retired
"KMX",Senator,Victoria,VIC,1968-CASUAL1-VIC,1968-02-21,1976-10-13,1976-CASUAL1-VIC,Died
"KFE",Member,Swan,WA,1922-HOR,1922-12-16,1940-11-15,1940-BY3-SWAN,Died
"86X",Senator,Western Australia,WA,1998-SEN,1999-07-01,2005-06-30,2004-SEN,Defeated
"00AMP",Member,Newcastle,NSW,2001-HOR,2001-11-10,2013-08-05,2013-HOR,Retired
"VU5",Member,Bruce,VIC,1996-HOR,1996-03-02,,,
"0H4",Member,Maribyrnong,VIC,1983-HOR,1983-03-05,1996-01-29,1996-HOR,Retired
"KFG",Member,Shortland,NSW,1949-HOR,1949-12-10,1972-11-02,1972-HOR,Retired
"220370",Member,Solomon,NT,2010-HOR,2010-08-21,,,
"9V4",Senator,Tasmania,TAS,1974-SEN,1974-05-18,1987-04-02,1987-RESIGNED-NOVAC,Resigned
"KFI",Member,Flinders,VIC,1901-HOR1,1901-03-29,1903-11-23,1903-HOR,Retired
"KFK",Member,Darling Downs,QLD,1931-HOR,1931-12-19,1936-11-06,1936-BY2-DARLINGDOWNS,Died
"QK5",Member,Braddon,TAS,1975-HOR,1975-12-13,1984-10-26,1984-HOR,Retired
"KFL",Member,Darling Downs,QLD,1901-HOR2,1901-03-30,1901-08-08,1901-BY1-DARLINGDOWNS,Died
"C7D",Senator,Victoria,VIC,1970-SEN,1971-07-01,1987-06-05,1987-SEN,Retired
"KFS",Member,Henty,VIC,1925-HOR,1925-11-14,1940-08-13,1940-HOR-NOBY,Died
"KFQ",Member,Henty,VIC,1946-BY2-HENTY,1946-03-30,1955-11-04,1955-HOR,Retired
"KFU",Member,Kingston,SA,1969-HOR,1969-10-25,1975-12-13,1975-HOR,Defeated
"KN7",Senator,Victoria,VIC,1919-SEN,1920-07-01,1938-06-30,1937-SEN,Defeated
"KNB",Senator,South Australia,SA,1903-SEN,1904-01-01,1921-01-20,1921-CASUAL1-SA,Died
"KNN",Senator,Tasmania,TAS,1914-SEN,1914-09-05,1920-06-30,1919-SEN,Defeated
"KFW",Senator,Tasmania,TAS,1949-SEN,1949-12-10,1956-06-30,1955-SEN,Defeated
"84T",Member,Durack,WA,2010-HOR,2010-08-21,2013-08-05,2013-HOR,Retired
"KFX",Member,Lilley,QLD,1943-HOR,1943-08-21,1949-12-10,1949-HOR,Defeated
"1H4",Senator,South Australia,SA,1980-SEN,1981-07-01,1990-03-01,1990-CASUAL2-SA,Resigned
"KFZ",Member,Moore,WA,1958-HOR,1958-11-22,1961-12-09,1961-HOR,Defeated
"HWD",Member,Solomon,NT,2007-HOR,2007-11-24,2010-08-21,2010-HOR,Defeated
"L6Z",Member,Werriwa,NSW,1906-HOR,1906-12-12,1912-04-01,1912-BY1-WERRIWA,Resigned
"83N",Member,Shortland,NSW,1998-HOR,1998-10-03,,,
"2H4",Member,Boothby,SA,1981-BY1-BOOTHBY,1981-02-21,1996-01-29,1996-HOR,Retired
"KGA",Member,Canning,WA,1963-HOR,1963-11-30,1974-05-18,1974-HOR,Defeated
"3H4",Member,Casey,VIC,1984-HOR,1984-12-01,1998-08-31,1998-HOR,Retired
"4H4",Senator,Victoria,VIC,1977-SEN,1978-07-01,1990-06-30,1990-SEN,Retired
"KGC",Member,Canning,WA,1949-HOR,1949-12-10,1961-11-02,1961-HOR,Retired
"L77",Member,Bendigo,VIC,1915-BY1-BENDIGO,1915-02-06,1917-05-05,1917-HOR,Defeated
"5H4",Member,Melbourne,VIC,1983-HOR,1983-03-05,1993-02-08,1993-HOR,Retired
"KGF",Member,Kingston,SA,1949-HOR,1949-12-10,1951-04-28,1951-HOR,Defeated
"KNR",Senator,South Australia,SA,1949-SEN,1949-12-10,1967-10-24,1967-CASUAL1-SA,Died
"KNU",Senator,Victoria,VIC,1970-SEN,1970-11-21,1974-05-18,1974-SEN,Defeated
"KGG",Senator,Victoria,VIC,1924-CASUAL1-VIC,1924-07-22,1925-11-13,1925-SEN,Defeated
"KGH",Member,Wide Bay,QLD,1961-HOR,1961-12-09,1974-05-18,1974-HOR,Defeated
"BK6",Member,Oxley,QLD,1996-HOR,1996-03-02,1998-10-03,1998-HOR,Defeated
"I0U",Senator,South Australia,SA,2007-SEN,2008-07-01,,,
"CK6",Member,Moreton,QLD,1996-HOR,1996-03-02,2007-11-24,2007-HOR,Defeated
"KGL",Member,Herbert,QLD,1961-HOR,1961-12-09,1966-11-26,1966-HOR,Defeated
"KNZ",Senator,New South Wales,NSW,1931-SEN,1932-07-01,1938-06-30,1937-SEN,Defeated
"KO8",Senator,Western Australia,WA,1901-SEN1,1901-03-29,1903-12-31,1903-SEN,Retired
"KNI",Member,Mernda,VIC,1901-HOR1,1901-03-29,1913-04-23,1913-HOR,Abolished at Redistribution (Retired)
"6H4",Senator,Tasmania,TAS,1975-SEN,1975-12-13,2005-06-30,2004-SEN,Retired
"KNK",Member,Chisholm,VIC,1980-HOR,1980-10-18,1983-03-05,1983-HOR,Defeated
"232369",Senator,Western Australia,WA,1953-SEN,1953-07-01,1959-06-30,1958-SEN,Retired
"8HC",Senator,Queensland,QLD,1998-SEN-CHALLENGE,1999-07-02,2005-06-30,2004-SEN,Defeated
"KNX",Member,Wentworth,NSW,1931-HOR,1931-12-19,1956-10-17,1956-BY3-WENTWORTH,Resigned
"KNT",Member,Bendigo,VIC,1931-HOR,1931-12-19,1937-09-21,1937-HOR,Retired
"KNM",Member,Blaxland,NSW,1949-HOR,1949-12-10,1969-09-29,1969-HOR,Retired
"KNY",Member,Tasmania (HoR),TAS,1902-BY1-TASMANIA,1902-03-26,1903-12-16,1903-HOR,Abolished at Redistribution (to Bass - Defeated)
"00AMM",Member,Cowper,NSW,2001-HOR,2001-11-10,,,
"7H4",Member,Hawker,SA,1987-HOR,1987-07-11,1990-03-24,1990-HOR,Defeated
"KOB",Member,Canberra,ACT,1975-HOR,1975-12-13,1980-10-18,1980-HOR,Defeated
"ZL6",Member,Curtin,WA,1949-HOR,1949-12-10,1969-02-10,1969-BY1-CURTIN,Resigned
"LN6",Member,Blaxland,NSW,1996-BY1-BLAXLAND,1996-06-15,2007-10-17,2007-HOR,Retired
"TU5",Member,Macarthur,NSW,1993-HOR,1993-03-13,1996-01-29,1996-HOR,Retired
"HWO",Member,Mitchell,NSW,2007-HOR,2007-11-24,,,
"YD4",Member,Wills,VIC,1980-HOR,1980-10-18,1992-02-20,1992-BY1-WILLS,Resigned
"KOC",Member,Wakefield,SA,1929-HOR,1929-10-12,1938-10-25,1938-BY1-WAKEFIELD,Died
"8H4",Member,Wannon,VIC,1983-BY1-WANNON,1983-05-07,2010-07-19,2010-HOR,Retired
"KGP",Member,Isaacs,VIC,1949-HOR,1949-12-10,1969-09-29,1969-HOR,Retired
"KGV",Member,New England,NSW,1919-HOR,1919-12-13,1922-12-16,1922-HOR,Defeated
"RK4",Member,Oxley,QLD,1961-HOR,1961-12-09,1988-08-17,1988-BY4-OXLEY,Resigned
"ECV",Member,Fowler,NSW,2010-HOR,2010-08-21,,,
"KOF",Senator,Tasmania,TAS,1923-CASUAL1-TAS,1923-09-12,1947-06-30,1946-SEN,Retired
"KGX",Member,Parkes,NSW,1943-HOR,1943-08-21,1963-11-30,1963-HOR,Defeated
"KOJ",Senator,Tasmania,TAS,1922-SEN,1923-07-01,1947-06-30,1946-SEN,Defeated
"KOM",Senator,Tasmania,TAS,1980-CASUAL2-TAS,1980-10-15,1985-06-30,1984-SEN,Retired
"KOO",Senator,Queensland,QLD,1966-CASUAL2-QLD,1966-04-14,1968-06-30,1967-SEN,Expired Defeated
"KGZ",Member,Fremantle,WA,1906-HOR,1906-12-12,1913-05-31,1913-HOR,Defeated
"C16",Senator,New South Wales,NSW,1996-CASUAL5-NSW,1996-09-18,,,
"KH8",Member,Kalgoorlie,WA,1917-HOR,1917-05-05,1919-12-13,1919-HOR,Defeated
"KOS",Senator,Western Australia,WA,1903-SEN,1904-01-01,1923-06-30,1922-SEN,Defeated
"ZN4",Member,Corangamite,VIC,2013-HOR,2013-09-07,,,
"KOU",Senator,Victoria,VIC,1946-SEN,1947-07-01,1971-06-30,1970-SEN,Retired
"00BCM",Member,Eden-Monaro,NSW,2013-HOR,2013-09-07,,,
"E0L",Member,Hasluck,WA,2004-HOR,2004-10-09,2007-11-24,2007-HOR,Defeated
"KOW",Senator,Tasmania,TAS,1949-SEN,1950-07-01,1968-06-30,1967-SEN,Retired
"ZU5",Member,Capricornia,QLD,1993-HOR,1993-03-13,1996-03-02,1996-HOR,Defeated
"VW4",Senator,Queensland,QLD,1990-SEN,1990-07-01,2002-09-05,2002-CASUAL3-QLD,Resigned
"KHA",Member,McMillan,VIC,1972-HOR,1972-12-02,1975-12-13,1975-HOR,Defeated
"9H4",Member,Wentworth,NSW,1987-HOR,1987-07-11,1995-02-28,1995-BY2-WENTWORTH,Resigned
"AH4",Member,Riverina ii,NSW,1993-HOR,1993-03-13,1998-08-31,1998-HOR,Retired
"KHC",Member,Northern Melbourne,VIC,1901-HOR1,1901-03-29,1906-10-13,1906-HOR-NOBY,Abolished at Redistribution (Resigned)
"KHE",Member,Capricornia,QLD,1910-HOR,1910-04-13,1922-12-16,1922-HOR,Defeated
"BH4",Senator,South Australia,SA,1980-SEN,1981-07-01,2006-03-15,2006-CASUAL1-SA,Resigned
"KHG",Member,Echuca,VIC,1919-BY1-ECHUCA,1919-09-20,1934-08-07,1934-HOR,Retired
"KOZ",Senator,South Australia,SA,1922-SEN,1922-12-16,1935-06-30,1934-SEN,Defeated
"83Y",Member,Charlton,NSW,1998-HOR,1998-10-03,2007-10-17,2007-HOR,Retired
"DK6",Member,North Sydney,NSW,1996-HOR,1996-03-02,,,
"00ATA",Member,Petrie,QLD,1984-HOR,1984-12-01,1987-07-11,1987-HOR,Defeated
"BV4",Member,Denison,TAS,1975-HOR,1975-12-13,1987-07-11,1987-HOR,Defeated
"218019",Member,Page,NSW,2013-HOR,2013-09-07,,,
"7L6",Senator,Queensland,QLD,1996-SEN,1996-07-01,2014-06-30,2013-SEN,Retired
"KHI",Member,Wakefield,SA,1903-HOR,1903-12-16,1909-07-23,1909-BY1-WAKEFIELD,Died
"CH4",Member,Melbourne Ports,VIC,1977-HOR,1977-12-10,1998-08-31,1998-HOR,Retired
"DH4",Member,Throsby,NSW,1984-HOR,1984-12-01,2001-10-08,2001-HOR,Retired
"KHL",Member,Melbourne Ports,VIC,1931-HOR,1931-12-19,1951-03-19,1951-HOR,Retired
"KHO",Member,Martin,NSW,1931-HOR,1931-12-19,1934-06-05,1934-HOR-NOBY,Died
"KHQ",Member,Darebin,VIC,1955-HOR,1955-12-10,1958-10-14,1958-HOR,Retired
"009MC",Member,Higgins,VIC,1949-HOR,1949-12-10,1967-12-19,1968-BY1-HIGGINS,Died
"KHS",Member,Indi,VIC,1958-HOR,1958-11-22,1977-12-10,1977-HOR,Defeated
"UU5",Member,Paterson,NSW,1998-HOR,1998-10-03,2001-11-10,2001-HOR,Defeated
"ZD4",Member,Bennelong,NSW,1974-HOR,1974-05-18,2007-11-24,2007-HOR,Defeated
"247742",Member,Petrie,QLD,2013-HOR,2013-09-07,,,
"EH4",Member,Batman,VIC,1977-HOR,1977-12-10,1996-01-29,1996-HOR,Retired
"KHU",Member,Dalley,NSW,1910-HOR,1910-04-13,1915-04-02,1915-BY3-DALLEY,Died
"KHW",Member,Darwin,TAS,1917-HOR,1917-05-05,1917-05-10,1917-BY1-DARWIN,Died before taking seat
"KHY",Member,Calare,NSW,1946-HOR,1946-09-28,1960-09-28,1960-BY5-CALARE,Resigned
"KI7",Member,Calare,NSW,1922-HOR,1922-12-16,1929-10-12,1929-HOR,Defeated
"0095J",Member,Casey,VIC,1969-HOR,1969-10-25,1972-12-02,1972-HOR,Defeated
"DQC",Member,Bradfield,NSW,1949-HOR,1949-12-10,1952-10-28,1952-BY4-BRADFIELD,Died
"IIS",Member,Berowra,NSW,1969-HOR,1969-10-25,1972-11-02,1972-HOR,Retired
"83O",Member,Riverina ii,NSW,1998-HOR,1998-10-03,2010-07-19,2010-HOR,Retired
"TT4",Member,Kennedy,QLD,1990-HOR,1990-03-24,1993-03-13,1993-HOR,Defeated
"KIF",Member,Petrie,QLD,1963-HOR,1963-11-30,1972-11-02,1972-HOR,Retired
"FH4",Member,Griffith,QLD,1977-HOR,1977-12-10,1996-01-29,1996-HOR,Retired
"KO6",Senator,Australian Capital Territory,ACT,2003-CASUAL1-ACT,2003-02-18,2013-09-06,2013-SEN,Retired
"00AMV",Member,Flinders,VIC,2001-HOR,2001-11-10,,,
"GH4",Member,Gwydir,NSW,1969-BY3-GWYDIR,1969-06-07,1989-02-24,1989-BY1-GWYDIR,Resigned
"KIO",Member,Maranoa,QLD,1921-BY1-MARANOA,1921-07-30,1940-08-27,1940-HOR,Retired
"AV4",Member,Adelaide,SA,1969-HOR,1969-10-25,1987-12-31,1988-BY1-ADELAIDE,Resigned
"E4U",Senator,South Australia,SA,2004-SEN,2005-07-01,2011-06-30,2010-SEN,Retired
"KIR",Member,Bendigo,VIC,1922-HOR,1922-12-16,1929-10-12,1929-HOR,Defeated
"91219",Member,Chifley,NSW,2010-HOR,2010-08-21,,,
"KIU",Member,Denison,TAS,1931-HOR,1931-12-19,1934-09-15,1934-HOR,Defeated
"84P",Senator,New South Wales,NSW,1998-CASUAL2-NSW,1998-10-14,2011-06-30,2010-SEN,Defeated
"212585",Member,Lyons,TAS,2013-HOR,2013-09-07,,,
"KIX",Member,Deakin,VIC,1937-HOR,1937-10-23,1949-10-31,1949-HOR,Retired
"KJ8",Member,Hindmarsh,SA,1903-HOR,1903-12-16,1909-12-06,1910-HOR-NOBY,Died
"9W4",Member,Moore,WA,1974-HOR,1974-05-18,1983-03-05,1983-HOR,Defeated
"KJA",Member,Melbourne,VIC,1972-HOR,1972-12-02,1983-02-04,1983-HOR,Retired
"HYM",Member,Swan,WA,2007-HOR,2007-11-24,,,
"KJC",Member,Grampians,VIC,1906-HOR,1906-12-12,1914-09-05,1914-HOR,Defeated
"KJE",Member,Flinders,VIC,1906-HOR,1906-12-12,1918-04-05,1918-BY1-FLINDERS,Resigned
"83Z",Member,Fowler,NSW,1998-HOR,1998-10-03,2010-07-19,2010-HOR,Retired
"KJG",Member,Mitchell,NSW,1963-HOR,1963-11-30,1972-12-02,1972-HOR,Defeated
"KJI",Member,Indi,VIC,1901-HOR1,1901-03-29,1906-10-12,1906-HOR-NOBY,Resigned
"KJK",Member,North Sydney,NSW,1949-HOR,1949-12-10,1966-10-31,1966-HOR,Retired
"KJM",Member,Bass,TAS,1919-HOR,1919-12-13,1929-10-12,1929-HOR,Defeated
"00AN2",Member,Hasluck,WA,2007-HOR,2007-11-24,2010-08-21,2010-HOR,Defeated
"CV4",Member,Hawker,SA,1969-HOR,1969-10-25,1987-06-05,1987-HOR,Retired
"0E4",Member,Cowan,WA,1984-HOR,1984-12-01,1993-03-13,1993-HOR,Defeated
"KJO",Member,Hunter,NSW,1960-BY1-HUNTER,1960-04-09,1980-09-19,1980-HOR,Retired
"KJQ",Member,Hunter,NSW,1928-HOR,1928-11-17,1958-10-14,1958-HOR,Retired
"KJU",Member,Deakin,VIC,1966-HOR,1966-11-26,1983-03-05,1983-HOR,Defeated
"EK6",Member,Kingston,SA,1996-HOR,1996-03-02,1998-10-03,1998-HOR,Defeated
"HH4",Member,Scullin ii,VIC,1986-BY1-SCULLIN,1986-02-08,2013-08-05,2013-HOR,Retired
"DRW",Member,Scullin ii,VIC,1969-HOR,1969-10-25,1985-12-20,1986-BY1-SCULLIN,Resigned
"IH4",Senator,Western Australia,WA,1987-SEN,1987-07-11,1990-06-30,1990-SEN,Defeated
"KK7",Member,Watson i,NSW,1934-HOR,1934-09-15,1940-09-21,1940-HOR,Defeated
"DYN",Member,Tangney,WA,2004-HOR,2004-10-09,,,
"KK9",Member,Bass,TAS,1910-HOR,1910-04-13,1919-12-13,1919-HOR,Defeated
"KKB",Member,La Trobe,VIC,1960-BY2-LATROBE,1960-04-09,1972-12-02,1972-HOR,Defeated
"KKD",Senator,South Australia,SA,1970-SEN,1971-07-01,1987-07-11,1987-SEN,Defeated
"JH4",Member,Petrie,QLD,1987-HOR,1987-07-11,1996-03-02,1996-HOR,Defeated
"K99",Member,Lang,NSW,1903-HOR,1903-12-16,1928-11-17,1928-HOR,Defeated
"K9G",Member,Kalgoorlie,WA,1940-BY2-KALGOORLIE,1940-11-16,1958-10-14,1958-HOR,Retired
"K9J",Member,Burke ii,VIC,1969-HOR,1969-10-25,1980-09-19,1980-HOR,Retired
"K9M",Member,Hughes,NSW,1969-HOR,1969-10-25,1983-12-19,1984-BY2-HUGHES,Resigned
"00AMX",Member,Ryan,QLD,2001-HOR,2001-11-10,2010-08-21,2010-HOR,Defeated
"K9O",Member,Brisbane,QLD,1975-HOR,1975-12-13,1980-10-18,1980-HOR,Defeated
"K9R",Member,Robertson,NSW,1910-HOR,1910-04-13,1913-05-31,1913-HOR,Defeated
"00AON",Senator,Western Australia,WA,2001-SEN,2002-07-01,,,
